forecast							天气预报，预测
drunk								醉的
whom								谁
mind								思维，意见，记忆，意愿，注意，介意
mind you							说真的，请注意
sideways							向旁边的，向旁边，侧身
spare								闲置的，简朴的，备用品，匀出，放过，免去
unique							唯一的，独特的
export							出口，传播
success							成功
mess								脏乱，污渍，食堂，瞎闹
mess with							惹
no messing							不要胡闹
airmail							航空邮政
innocent							无罪的，无害的
care								小心，忧虑，想要，喜欢，关心
take care of						照顾，处理
grand								壮观的，傲慢的，极好的
triangle							三角形
full								满的，吃饱的，直接的
in full							完全的
translation						译文，翻译
pound								磅，英镑，捣碎，砸，收容所
count								数数，计算，重要，认为
count towards						被计入
Or								或者，还是，否则
paddle							短桨，涉水，用桨划，掌掴
invitation							邀请，鼓励
test								试验，测验，化验，考验
bathtub							澡盆
opinion							看法，观点，评价
delight							愉快，使高兴
thirst							口渴，渴望
register							登记簿，登记，提出，取得
opening							开幕式，洞，机遇
puzzle							谜，使困惑，苦思冥想
\\\\
