we									我们
bear									承载，具有，忍受，行进，熊
bedroom								卧室
hurricane								飓风
mouthful								一满口，指责
apologize
garbage								垃圾，废话
spelling								拼写
useful								有用的，不错的
astronomy								天文学
lesson								一节课，教训
lessons								上课
harbour								港口，藏匿
herself								她自己
quiet									安静的，秘密的，宁静
downstairs								在楼下
violent								残暴的，猛烈的，突然的
dictation								口述，听写，命令
cathedral								总教堂
respect								尊敬，考虑，谨慎，方面，问候
expression								表达，表情
dioxide								二氧化物
villager								村民
guidance								指导，领导
grey									灰色的，昏暗的
refer									退回
refer to								提及，称呼
booth									电话亭
bookmark								书签
walkman								随声听
\\\\
