culture								文化，种植
burial								埋葬，葬礼
bored									厌倦的
possess								拥有，支配
ease									容易，轻松自在，减轻，小心的移动
gardening								园艺活动
drawback								缺点
database								数据库
poisonous								有毒的，恶毒的
throat								咽喉
wise									聪明的，博学的，知情的
importance								重要性
baby									婴儿
hunter								猎人，搜集人
acid									酸
signature								签名
board									木板，膳食，委员会，登上
on board								在船上
November								十一月
accelerate								加速
cow									母牛，恐吓
motor
birth									出生，创始
wife									妻子
totally								完全
situation								情况，位置
winter								冬天
apparent								明显的，表面上的
picnic								野餐
carbon								碳
\\\\
