proud									自豪的，傲慢的
energy								活力，能源
lifetime								一生，终身的
entry									进入，记录，参赛
general								普遍的，整体的，正常的，首席的，将官
bean									豆，一丁点
such									那样的，那
and such								诸如此类
instruct								教导，吩咐
amusement								欢乐，消遣
afterward								后来
defense								保卫，辩解，防守
fellow								男人，同辈，同类的
accumulate								积累
opera									歌剧
phrase								习语，表达
a turn of phrase						措辞
cheap									便宜的，粗鄙的
deer									鹿
course								进程，航向，课程，迅速流动
the soup course							一道汤
glare									怒视
walk									走
weep									哭泣
brilliant								明亮的，杰出的，美好的
radioactive							放射性的
wave									波浪，挥手，卷发
a wave of								一阵
waves									大海
tomb									坟墓
seize									抓住，利用
design								设计，意图
by design								故意的
small									小的，少的，丢脸的
\\\\
