heat									热，温度，暖气，压力，加热
junk									垃圾，丢弃
sorrow								悲伤
bungalow								平房
technology								技术
hardly								几乎不，刚刚
fee									服务费
promise								承诺，希望，答应，预报
mass									堆，大量，大多数
masses								民众，大量
settle								飞落，沉降，安放，解决
competitor								参赛者，竞争者
chapter								章，重要时期
electricity							电，电流
sudden								突然的
supreme								至上的，卓越的，极度的
reign supreme							占绝对优势
eyewitness								目击者
information							消息
queue									行列，排队
candy									糖果
sleep									睡着，安息
act									行为，法案，表演，行动
belt									腰带，地带
widespread								普遍的
study									学习，专著，研究
studies								学业，课程
advantage								有利条件
take advantage of						利用某事物
abnormal								反常的
output								产量，输出
sport									运动
admirable								令人敬佩的
\\\\
