dash										猛冲，猛击，使...破灭
a dash of									少量
to cut a dash								神气活现
thirteen									十三
ambition									志向
enter									进入，参加，记录
able										有...能力的，能干的
severe									严重的，严肃的
sharpener									磨具
dream									梦，梦想，考虑
bookshelf									书架
analyze									分析，解读
woman									女人
extraordinary								非凡的
outcome									结果
yoghurt									酸奶
make										制造，使变成，赚得，进行
make the summit							到达顶峰
only										仅仅，才，只会，唯一的
only too									非常
title									名称，职衔，冠军，所有权
card										明信片，纸牌，名片，信用卡
spell									咒语，魅力，一段时间，拼写
win										获胜
champion									冠军，提倡者
clarify									澄清
comedy									喜剧
biography									传记
clock									钟，达到，测量
employ									雇用，使用
sixth									第六
injure									使受伤
period									一段时间，课时
\\\\
