excuse								借口，理由，原谅，免除
excuse oneself							请求得到原谅，请求免除
prayer								祷告
fork									餐叉，岔口
greet									迎接，对...作出反应
pray									做祷告，祈求
brown									棕色的，晒黑的
burden								重负，要旨，烦扰
civilization							文明
rate									速度，比率，价格，工资，评估
system								系统，方法，身体
the system								现行体制
advertise								公布，为...做广告
metal									金属
forgive								原谅
fat									脂肪，食用油，肥胖的
a fat profit							暴利
a fat lot of good						一点好处也没有
go about								着手，交往，散布
go about doing							习惯做某事
collection								收集，收取，募捐
a collection of							一批，一群
rich									富有的，丰厚的
riches								财富
underwear								衬衣
choke									掐住脖子，说不出话，塞住
sixteenth								第十六
elder									长者，较年长的
beauty								美，优点
shy									害羞的，心怀顾忌的
existence								存在，生存
run									跑，运转，延伸，一段时间
runs									腹泻
geometry								几何学
living								活的，现存的，生计，生活方式
carriage								马车，承载架，仪态
chain									链条，一系列
\\\\
