sweater								毛衣
lost									丢失，输掉
lose oneself							全神贯注
careless								粗心的，不关心的
river								河流
routine								常规，例行的
gymnastics							体操，技巧
storage								贮藏，储存
within								在...里面
queen								女王
wheat								小麦
number								数字，数量
palace								宫，府，豪宅
the Palace							王室
childhood								童年
violate								违反，亵渎
tale									故事，流言
society								社会，社团
restrict								限制
speech								演讲，言语
the faculty of speech					言语能力
everyday speech						日常会话
distinct speech						清楚的口齿
harvest								收割，结果
recorder								录音机，竖笛
son									儿子，子孙
attitude								态度，姿势
AD									公元
altitude								海拔，纬度
everything								每件东西
upper									上面的
trunk									树干，躯干，行李箱
trunks								游泳裤
other									其他的，另一边的，
other than								除...之外
tram									有轨电车
\\\\
