debate									辩论，考虑
sell										卖，推荐，失望
belief									信念，相信
bookcase									书架
ninth									第九
hard-working								努力工作的
unrest									动乱
prejudice									偏见，侵害
dial										刻度盘，调节器，拨号
variety									多样化，种类
wipe										擦，湿纸巾
peach									桃子
third									第三
tube										管
delighted									快乐的
why										为什么，原因
control									控制
Saturday									星期六
alley									小巷
home										家，到位，深刻的
smog										烟雾
survive									留存，幸存
stewardess
snow										雪
snows									降雪
cool										凉的，镇静的，冷淡的，潇洒的
useless									无用的
secure									牢固的，安全的，保护，获得
pipe										管子，烟斗
pipes									风笛
\\\\
