arrival									到达，出现
arrivals									到港区
conservative								保守的，传统的
however									然而，不管怎样
mature									成熟的，明智的
guide									向导，指示
traffic									交通，运输
block									方块，大楼，街区，阻碍
happy									快乐的，满意的
elect									选举，选择
August									八月
past										超过，过去的，结束的
saying									谚语
sayings									格言集
hello									问候
repeat									复述，转述，重复
separately								分别的，单独的
cave										洞穴
urge										欲望，力劝，驱赶
whistle									哨声，吹口哨
instruction								教导，命令，说明
postcard									明信片
civil									公民的，世俗的，有礼貌的
knowledge								知识，了解
fantasy									幻想
airline									航空公司，通气管
till										钱箱，耕种
sixteen									十六
born										出生的
actual									实际的，真实的
in actual fact							事实上
wage										工资，发动
aeroplane								飞机
\\\\
