word									单词，话，诺言，消息
Words									话，台词，歌词
significance							重要性，意义
quantity								数量，大量
shock									震惊，休克
recognize								认出，承认，赞赏
twice									两次，两倍
special								特别的，专门的，具体的，专长
major									重要的，严重的，主修
minimum								最低限度
earthquake								地震
troublesome							令人烦恼的
skillful								娴熟的
away									不在，在...距离处，向别处
anger									愤怒
spade									锹，黑桃
section								部分，阶层
railway								铁路
comment								评论，注解，批评，意见
salute								敬礼，赞扬
part									部分，职责，方面，地区，分开
hate									憎恶，讨厌
thirsty								口渴的，干旱的
enterprise								企业，事业
freeze								冻结
candle								蜡烛
campaign								战役，运动
vast									巨大的
maple									槭树
benefit								益处，获益
neither								都不
\\\\
