sword									剑
desire								渴望
relief								解脱，救助，减轻，凸显
catch									捕获，抓住，使意外，察觉，击中
consult								咨询，查阅，商量
preserve								保护，拯救，果酱
next									紧接着的，下一个
numb									失去知觉的，麻木的
one									一
shoe									鞋
so as									为了
husband								丈夫，节俭使用
occur									发生，出现，被想到
prescription							开处方，处方，规定
spoonful								一匙，少量
mankind								人类
slip									滑倒，滑动
make a slip							出错
eastern								东方的
thought								思考，意图，观点
cattle								牛
dumpling								饺子
accountant								会计
path									小路，路线，路径
initial								首字母，开始的
medium								中等的，媒介
beat									击打，打败
background								背景，不显著的位置
caution								小心
beef									牛肉，牢骚
\\\\
