Belgium							比利时
stare								注视
mistake							错误，误解
freedom							自由，免除
fountain							喷泉
bakery							面包店
juice								果汁，汽油，电
similar							相似的
pond								池塘
swim								游泳，浸泡，眩晕
tonight							今夜
apart								相隔，与众不同的
apart from							除了...外	
fly								飞，逃跑，苍蝇
undertake							承担，从事
punctuate							加标点符号，不时打断
brick								砖
dictionary							词典
carrier							运输公司，运输工具
quake								颤抖，地震
medal								勋章，奖牌
theatre							剧场，戏剧
shot								射击，尝试，击球，照片，注射
roof								屋顶
harmful							有害的
socialist							社会主义的
ring								戒指，环状物，圈，环绕，铃声
supermarket						超市
pattern							图案，榜样，模式，模仿，样品
kite								风筝
remark							言论，注意，议论
\\\\
