greedy								贪食的，贪婪的
savage								残暴的，极度的，猛烈抨击
novelist								小说家
close									近的，亲密的，严密的，关上，结束
north-west								西北
not but what							然而
not that								倒不是
grateful								感激的
unknown								未知的，不出名的
pump									泵，泵送，盘问
publicly								公开的，由国家
fortunate								幸运的，吉利的
assist								帮助
weak									虚弱的，淡的
the weak								弱者
accommodation							住所，和解
kettle								水壶，锅，合围
result								结果，成绩，发生
results								成果
Japanese								日本的
simple								简单的，朴素的
president								总统，会长
mark									斑点，符号，标志，得分，做记号于，是...的特征
tournament								锦标赛
musical								音乐的，悦耳的，音乐剧
invite								邀请
why invite trouble						为何自找麻烦
merely								仅仅，只是
punctuation							标点符号
stay									停留，保持，居住，阻止
stay up late							熬夜
examine								检查，调查
difference								差别，差额，分歧
than									比，除了，就
\\\\
